Sr.,term,relevant,retrieved_our,True Positive (TP),False Positive (FP),False Negative (FN),Precision,Recall,time
363,solute carrier family 22 member 23,14,395,14,381,0,0.035443038,1,5
364,Tn antigens [Golgi lumen],12,12,12,0,0,1,1,0
365,"Chondrodysplasia, Grebe type",12,12,12,0,0,1,1,0
366,Bartter Disease,122,122,122,0,0,1,1,1
367,TSPY like 2,43,43,39,0,4,0.906976744,0.829787234,0
368,Cervix carcinoma,3356,3356,3221,0,135,0.95977354,0.922658264,5
369,malignant fibrous histiocytoma amplified sequence 1,12,24,12,12,0,0.5,1,1
370,activity regulated cytoskeleton associated protein,41,41,37,0,4,0.902439024,0.822222222,1
371,protein phosphatase 1 regulatory inhibitor subunit 14A,11,11,11,0,0,1,1,0
372,"Carcinoma, Neuroendocrine",79,79,63,0,16,0.797468354,0.663157895,1
373,Squamous cell carcinoma of esophagus,2058,2058,1997,0,61,0.970359572,0.942425672,3
374,22q11 Deletion Syndrome,42,42,39,0,3,0.928571429,0.866666667,1
375,Japanese Encephalitis,87,87,85,0,2,0.977011494,0.95505618,0
376,"HEMATURIA, BENIGN FAMILIAL",31,31,25,0,6,0.806451613,0.675675676,1
377,cyclin dependent kinase 3,14,14,13,0,1,0.928571429,0.866666667,1
378,Hypotrichosis simplex,34,34,29,0,5,0.852941176,0.743589744,0
379,leukocyte associated immunoglobulin like receptor 1,11,11,11,0,0,1,1,1
380,"MIGRAINE, FAMILIAL HEMIPLEGIC, 2",31,31,26,0,5,0.838709677,0.722222222,0
381,CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME,13,13,11,0,2,0.846153846,0.733333333,1
382,Craniofacial Dysostosis,62,138,62,76,0,0.449275362,1,1
383,Platelet endothelial cell adhesion molecule,35,720,35,685,0,0.048611111,1,4
384,Malignant neoplasm of oropharynx,63,63,55,0,8,0.873015873,0.774647887,1
385,receptor activity modifying protein 2,29,29,29,0,0,1,1,1
386,"Malaria, Cerebral",193,198,193,5,0,0.974747475,1,1
387,Schizophrenia and related disorders,17,17,12,0,5,0.705882353,0.545454545,1
388,Speech Delay,22,22,19,0,3,0.863636364,0.76,0
389,"Hypomagnesemia 2, renal",11,11,11,0,0,1,1,1
390,calpain 10,364,728,364,364,0,0.5,1,3
391,laminin subunit alpha 4,42,42,39,0,3,0.928571429,0.866666667,1
392,Dystonia Musculorum Deformans,98,98,86,0,12,0.87755102,0.781818182,1
393,growth differentiation factor 15,358,716,358,358,0,0.5,1,9
394,Mixed Connective Tissue Disease,50,50,44,0,6,0.88,0.785714286,0
395,Severe combined immunodeficiency due to adenosine deaminase deficiency,39,39,39,0,0,1,1,0
396,hydroxysteroid 17-beta dehydrogenase 6,157,157,119,0,38,0.757961783,0.61025641,1
397,protein kinase C epsilon,81,431,81,350,0,0.187935035,1,2
398,Origin recognition complex subunit 1,38,347,38,309,0,0.109510086,1,2
399,Eye Neoplasms,17,17,15,0,2,0.882352941,0.789473684,1
400,"Cholestasis, Extrahepatic",27,27,23,0,4,0.851851852,0.741935484,0
401,CASP8 and FADD like apoptosis regulator,223,223,216,0,7,0.968609865,0.939130435,1
402,pyruvate carboxylase,252,915,252,663,0,0.275409836,1,2
403,Merkel Cell Polyomavirus Infection,12,12,11,0,1,0.916666667,0.846153846,1
404,Hereditary pancreatitis,336,336,321,0,15,0.955357143,0.914529915,1
405,Neuronal Ceroid-Lipofuscinoses,269,269,255,0,14,0.94795539,0.901060071,1
406,Arsenic Poisoning,79,79,71,0,8,0.898734177,0.816091954,0
407,"golgin, RAB6 interacting",22,22,19,0,3,0.863636364,0.76,1
408,Congenital abnormality of vein,12,12,11,0,1,0.916666667,0.846153846,0
409,calcium/calmodulin dependent serine protein kinase,65,65,63,0,2,0.969230769,0.940298507,1
410,Tumor Initiation,262,262,223,0,39,0.851145038,0.740863787,1
411,metallothionein 1H,35,180,35,145,0,0.194444444,1,3
412,"Graft Occlusion, Vascular",27,27,23,0,4,0.851851852,0.741935484,1
413,Polycythemia Vera,924,924,880,0,44,0.952380952,0.909090909,2
414,Systemic Anaplastic Large Cell Lymphoma,22,22,19,0,3,0.863636364,0.76,0
415,Excessive daytime somnolence,17,17,15,0,2,0.882352941,0.789473684,1
416,Coronary Arteriosclerosis,4010,4010,3997,0,13,0.996758105,0.993537161,4
417,epoxide hydrolase 2,117,234,117,117,0,0.5,1,2
418,cerebellar degeneration related protein 2,46,46,43,0,3,0.934782609,0.87755102,0
419,prostaglandin F2alpha,12,12,12,0,0,1,1,1
420,Diabetic foot ulcer,24,24,19,0,5,0.791666667,0.655172414,0
421,MCM2-7 [nucleoplasm],14,14,14,0,0,1,1,1
422,interferon induced protein 44,34,38,34,4,0,0.894736842,1,0
423,Laron Syndrome,208,214,208,6,0,0.971962617,1,1
424,Urinary tract infection,176,176,166,0,10,0.943181818,0.892473118,1
425,casein kinase 1 epsilon,41,41,39,0,2,0.951219512,0.906976744,0
426,TIA1 cytotoxic granule associated RNA binding protein,48,59,48,11,0,0.813559322,1,1
427,nuclear receptor subfamily 5 group A member 2,92,92,87,0,5,0.945652174,0.896907216,0
428,Prothrombin gene mutation,68,68,54,0,14,0.794117647,0.658536585,1
429,Ataxia Telangiectasia,943,943,898,0,45,0.952279958,0.908906883,1
430,cyclin dependent kinase 2,635,725,635,90,0,0.875862069,1,1
431,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B",62,62,57,0,5,0.919354839,0.850746269,1
432,paired like homeodomain 3,114,114,98,0,16,0.859649123,0.753846154,1
433,"Hyperparathyroidism, Primary",298,298,255,0,43,0.855704698,0.747800587,1
434,AKT interacting protein,14,28,14,14,0,0.5,1,0
435,Rapidly Progressive Glomerulonephritis,11,11,9,0,2,0.818181818,0.692307692,1
436,protein tyrosine phosphatase receptor type T,36,36,36,0,0,1,1,1
437,Tumor Virus Infections,23,23,22,0,1,0.956521739,0.916666667,0
438,Hirschsprung disease 1,342,342,321,0,21,0.938596491,0.884297521,1
439,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder)",15,15,15,0,0,1,1,1
440,cullin 2,25,50,25,25,0,0.5,1,1
441,Radicular Cyst,20,20,19,0,1,0.95,0.904761905,1
442,serine/threonine kinase 4,69,142,69,73,0,0.485915493,1,3
443,"Hyperalgesia, Thermal",41,41,39,0,2,0.951219512,0.906976744,0
444,RAS guanyl releasing protein 1,34,67,34,33,0,0.507462687,1,1
445,Bamforth syndrome,14,14,11,0,3,0.785714286,0.647058824,1
446,Situs ambiguus,46,46,43,0,3,0.934782609,0.87755102,1
447,CD5 molecule like,16,16,14,0,2,0.875,0.777777778,1
448,phospholipase A2 group XV,21,281,21,260,0,0.074733096,1,3
449,Malignant neoplasm of brain,208,208,198,0,10,0.951923077,0.908256881,1
450,Spinocerebellar Ataxia Type 1,178,178,144,0,34,0.808988764,0.679245283,1
451,eukaryotic translation initiation factor 4E binding protein 1,162,324,162,162,0,0.5,1,1
452,aldehyde dehydrogenase 4 family member A1,14,14,12,0,2,0.857142857,0.75,0
453,glycoprotein V platelet,13,13,11,0,2,0.846153846,0.733333333,1
454,insulin like growth factor binding protein 4,66,66,58,0,8,0.878787879,0.783783784,1
455,Russell Silver syndrome,34,68,34,34,0,0.5,1,1
456,Bloch Sulzberger syndrome,80,80,76,0,4,0.95,0.904761905,1
457,semaphorin 3D,12,12,12,0,0,1,1,1
458,pyruvic acid,57,60,57,3,0,0.95,1,1
459,"renalase, FAD dependent amine oxidase",34,34,30,0,4,0.882352941,0.789473684,1
460,interleukin 1 receptor type 2,72,72,65,0,7,0.902777778,0.82278481,2
461,"CLEFT PALATE, X-LINKED",26,26,26,0,0,1,1,1
462,metallothionein 1F,42,84,42,42,0,0.5,1,1
463,"HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY",16,16,12,0,4,0.75,0.6,1
464,"Xeroderma pigmentosum, variant type",11,11,11,0,0,1,1,1
465,Wiskott-Aldrich Syndrome,279,1671,279,1392,0,0.166965889,1,4
466,"Pneumonia, Ventilator-Associated",20,20,18,0,2,0.9,0.818181818,1
467,interleukin 7,323,1160,323,837,0,0.278448276,1,6
468,Autonomic nervous system disorders,18,18,18,0,0,1,1,1
469,Chronic Cholecystitis,18,18,14,0,4,0.777777778,0.636363636,1
470,BETA THALASSEMIA TRAIT,113,113,102,0,11,0.902654867,0.822580645,1
471,acyl-CoA oxidase like,14,14,11,0,3,0.785714286,0.647058824,1
472,Idiopathic pulmonary hypertension,547,547,544,0,3,0.994515539,0.989090909,1
473,Sentinel node (disorder),60,60,55,0,5,0.916666667,0.846153846,1
474,growth differentiation factor 6,53,106,53,53,0,0.5,1,3
475,"Cirrhosis, cryptogenic",12,12,12,0,0,1,1,1
476,Familial Atypical Multiple Mole-Melanoma,16,16,16,0,0,1,1,1
477,Male infertility,809,809,809,0,0,1,1,2
478,Epithelial cyst,25,25,23,0,2,0.92,0.851851852,1
479,small ubiquitin like modifier 2,23,23,19,0,4,0.826086957,0.703703704,0
480,polybromo 1,85,170,85,85,0,0.5,1,3
481,Waardenburg Syndrome Type 2,36,36,33,0,3,0.916666667,0.846153846,1
482,Glucose Metabolism Disorders,15,15,13,0,2,0.866666667,0.764705882,1
483,Dry Eye Syndromes,64,64,59,0,5,0.921875,0.855072464,1
484,Abdominal Neoplasms,11,11,11,0,0,1,1,0
485,interferon regulatory factor 2 binding protein 2,11,22,11,11,0,0.5,1,0
486,"DEVELOPMENTAL DELAY, EPILEPSY, AND NEONATAL DIABETES",13,13,13,0,0,1,1,1
487,Cytochrome-c Oxidase Deficiency,155,155,143,0,12,0.922580645,0.856287425,0
488,Potocki-Lupski syndrome,35,47,35,12,0,0.744680851,1,1
489,"Hypertension, Renovascular",53,53,49,0,4,0.924528302,0.859649123,0
490,bleeding ulcer,12,12,11,0,1,0.916666667,0.846153846,0
491,Prostatic Hyperplasia,150,150,142,0,8,0.946666667,0.898734177,1
492,"Xanthomatosis, Cerebrotendinous",94,94,91,0,3,0.968085106,0.93814433,1
493,Acute Lung Injury,96,96,87,0,9,0.90625,0.828571429,0
494,serum/glucocorticoid regulated kinase family member 3,13,13,13,0,0,1,1,1
495,ADAM metallopeptidase with thrombospondin type 1 motif 9,66,66,60,0,6,0.909090909,0.833333333,3
496,Multiple self-healing squamous epithelioma,13,13,12,0,1,0.923076923,0.857142857,1
497,musashi RNA binding protein 2,23,23,20,0,3,0.869565217,0.769230769,3
498,serine dehydratase,289,939,289,650,0,0.307774228,1,5
499,Mental Retardation,1454,2235,1454,781,0,0.650559284,1,4
500,GRB2 associated binding protein 2,96,96,88,0,8,0.916666667,0.846153846,1
501,kelch like family member 2,28,34,28,6,0,0.823529412,1,1
502,Spina Bifida,295,314,295,19,0,0.939490446,1,1
503,"Ectodermal dysplasia, hypohidrotic, with immune deficiency",24,24,22,0,2,0.916666667,0.846153846,0
504,fasciculation and elongation protein zeta 1,40,80,40,40,0,0.5,1,3
505,glutathione S-transferase C-terminal domain containing,12,12,12,0,0,1,1,1
506,Uremia syndrome,108,108,98,0,10,0.907407407,0.830508475,1
507,Fas associated factor 1,23,23,23,0,0,1,1,0
508,Nodular Lymphocyte Predominant Hodgkin Lymphoma,14,14,11,0,3,0.785714286,0.647058824,1
509,Breast Diseases,76,76,67,0,9,0.881578947,0.788235294,1
510,Polyarteritis Nodosa,20,20,19,0,1,0.95,0.904761905,1
511,Warburg Sjo Fledelius syndrome,29,29,24,0,5,0.827586207,0.705882353,0
512,"Microangiopathy, Diabetic",14,14,11,0,3,0.785714286,0.647058824,0
513,"Hand, Foot and Mouth Disease",11,11,11,0,0,1,1,1
514,Loeys-Dietz Aortic Aneurysm Syndrome,15,15,13,0,2,0.866666667,0.764705882,2
515,Exfoliation Syndrome,184,184,170,0,14,0.923913043,0.858585859,1
516,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K",16,16,16,0,0,1,1,1
517,dipeptidase 2,64,442,64,378,0,0.14479638,1,2
518,Pulmonary function,296,678,296,382,0,0.436578171,1,3
519,Anaplastic thyroid carcinoma,456,456,444,0,12,0.973684211,0.948717949,1
520,Sleep Deprivation,21,21,20,0,1,0.952380952,0.909090909,1
521,"Myopia, Degenerative",20,20,17,0,3,0.85,0.739130435,0
522,Precursor Cell Lymphoblastic Leukemia Lymphoma,3812,3812,3766,0,46,0.987932844,0.976153447,5
523,progesterone receptor,1762,4736,1762,2974,0,0.372043919,1,7
524,"Glaucoma, Open-Angle",337,337,303,0,34,0.899109792,0.81671159,1
525,TESTICULAR GERM CELL TUMOR,154,167,154,13,0,0.922155689,1,1
526,filamin A interacting protein 1 like,29,29,25,0,4,0.862068966,0.757575758,1
527,Refractive Errors,49,49,44,0,5,0.897959184,0.814814815,1
528,MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE),11,11,11,0,0,1,1,1
529,"Cystadenocarcinoma, Mucinous",18,18,17,0,1,0.944444444,0.894736842,1
530,"inositol 1,4,5-trisphosphate receptor type 1",130,1495,130,1365,0,0.086956522,1,10
531,Alveolar echinococcosis,22,22,19,0,3,0.863636364,0.76,1
532,Mitochondrial encephalopathy,11,12,11,1,0,0.916666667,1,0
533,nuclear receptor subfamily 0 group B member 2,253,418,253,165,0,0.605263158,1,2
534,Hemorrhagic Disorders,50,50,48,0,2,0.96,0.923076923,0
535,cytidine deaminase,136,501,136,365,0,0.271457086,1,3
536,"MESOMELIC DYSPLASIA, KANTAPUTRA TYPE",16,27,16,11,0,0.592592593,1,1
537,Fukuyama Type Congenital Muscular Dystrophy,107,107,99,0,8,0.925233645,0.860869565,1
538,Acromesomelic dysplasia Hunter-Thompson type,15,15,15,0,0,1,1,0
539,gap junction protein beta 3,162,162,156,0,6,0.962962963,0.928571429,0
540,interferon alpha inducible protein 27,595,595,577,0,18,0.969747899,0.941272431,1
541,Carcinoma in situ of uterine cervix,96,96,90,0,6,0.9375,0.882352941,0
542,NLR family apoptosis inhibitory protein,106,106,96,0,10,0.905660377,0.827586207,1
543,"VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder)",176,176,167,0,9,0.948863636,0.902702703,1
544,small proline rich protein 1A,12,12,11,0,1,0.916666667,0.846153846,0
545,AKT [cytosol],12,12,12,0,0,1,1,0
546,Adrenal Cortical Adenoma,144,144,132,0,12,0.916666667,0.846153846,2
547,Lysosomal Storage Diseases,402,402,388,0,14,0.965174129,0.932692308,1
548,TNF receptor associated factor 5,20,20,17,0,3,0.85,0.739130435,1
549,Sotos' syndrome,100,100,96,0,4,0.96,0.923076923,1
550,Ectodermal dysplasia/ skin fragility syndrome,13,13,13,0,0,1,1,6
551,Angina Pectoris,56,77,56,21,0,0.727272727,1,1
552,Uterine Cancer,65,65,63,0,2,0.969230769,0.940298507,1
553,Metastatic Malignant Neoplasm to the Leptomeninges,33,33,29,0,4,0.878787879,0.783783784,0
554,Lafora Disease,164,164,157,0,7,0.957317073,0.918128655,1
555,interferon induced protein with tetratricopeptide repeats 1,19,19,19,0,0,1,1,1
556,Nuclear cataract,30,30,28,0,2,0.933333333,0.875,1
557,Kaposi Sarcoma,336,336,321,0,15,0.955357143,0.914529915,1
558,huntingtin interacting protein 1,47,126,47,79,0,0.373015873,1,1
559,"Carcinoma, Ehrlich Tumor",25,25,20,0,5,0.8,0.666666667,0
560,iron responsive element binding protein 2,47,47,41,0,6,0.872340426,0.773584906,1
561,Morphine Dependence,22,22,22,0,0,1,1,0
562,"Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor",12,12,12,0,0,1,1,1
563,WAS/WASL interacting protein family member 1,19,19,15,0,4,0.789473684,0.652173913,0
564,ZFP36 ring finger protein like 2,25,25,23,0,2,0.92,0.851851852,3
565,cyclin dependent kinase 5,166,266,145,100,21,0.545112782,0.77540107,4
566,"Lymphohistiocytosis, Hemophagocytic",319,319,308,0,11,0.965517241,0.933333333,1
567,X-Linked Lissencephaly,66,66,60,0,6,0.909090909,0.833333333,0
568,mitogen-activated protein kinase kinase 1,322,630,322,308,0,0.511111111,1,5
569,cholesteryl ester transfer protein,969,2560,969,1591,0,0.378515625,1,5
570,Nuclear non-senile cataract,28,28,23,0,5,0.821428571,0.696969697,0
571,Brody myopathy,21,21,21,0,0,1,1,1
572,Allograft Rejection,12,12,12,0,0,1,1,1
573,egl-9 family hypoxia inducible factor 1,105,105,96,0,9,0.914285714,0.842105263,0
574,Popliteal pterygium syndrome,21,35,21,14,0,0.6,1,0
575,Endocrine Gland Neoplasms,71,71,67,0,4,0.943661972,0.893333333,1
576,purine nucleoside phosphorylase,109,737,109,628,0,0.147896879,1,2
577,BMP binding endothelial regulator,39,78,39,39,0,0.5,1,0
578,Microsatellite Instability,111,111,101,0,10,0.90990991,0.834710744,0
579,Premature Ejaculation,17,17,17,0,0,1,1,0
580,aryl-hydrocarbon receptor repressor,32,64,32,32,0,0.5,1,1
581,transcription factor AP-2 beta,75,150,75,75,0,0.5,1,3
582,Hepatopulmonary Syndrome,108,108,99,0,9,0.916666667,0.846153846,0
583,Myoclonic dystonia,114,114,95,0,19,0.833333333,0.714285714,1
584,"Micronuclei, Chromosome-Defective",21,21,20,0,1,0.952380952,0.909090909,0
585,Cognition Disorders,81,81,77,0,4,0.950617284,0.905882353,0
586,"Carcinoma, Papillary",640,640,633,0,7,0.9890625,0.978361669,1
587,Glycogen storage disease type Ia,36,36,33,0,3,0.916666667,0.846153846,1
588,Abnormal mental state,40,40,40,0,0,1,1,1
589,Rheumatoid Arthritis,10004,10049,10004,45,0,0.995521942,1,9
590,Multiple Sclerosis,4570,4880,4570,310,0,0.93647541,1,6
591,family with sequence similarity 72 member B,49,49,43,0,6,0.87755102,0.781818182,0
592,Woolly hair,29,41,29,12,0,0.707317073,1,1
593,pregnancy specific beta-1-glycoprotein 5,11,22,11,11,0,0.5,1,1
594,Thoracic Neoplasms,18,18,16,0,2,0.888888889,0.8,0
595,Sporadic Breast Carcinoma,482,482,477,0,5,0.989626556,0.979466119,2
596,Familial Periodic Paralysis,48,48,44,0,4,0.916666667,0.846153846,1
597,gap junction protein alpha 8,196,196,188,0,8,0.959183673,0.921568627,1
598,Antisocial Personality Disorder,91,91,83,0,8,0.912087912,0.838383838,1
599,Female Breast Carcinoma,125,125,120,0,5,0.96,0.923076923,1
600,specific language impairment,35,59,35,24,0,0.593220339,1,1
601,Pick Disease of the Brain,926,926,912,0,14,0.98488121,0.970212766,1
602,semaphorin 6A,400,400,380,0,20,0.95,0.904761905,1
603,hydroxysteroid 11-beta dehydrogenase 1,183,187,183,4,0,0.978609626,1,1
604,Ataxia with vitamin E deficiency,49,49,46,0,3,0.93877551,0.884615385,1
605,Z-DNA binding protein 1,16,32,16,16,0,0.5,1,1
606,zinc finger homeobox 3,105,210,105,105,0,0.5,1,1
607,Non-Hereditary Clear Cell Renal Cell Carcinoma,32,32,29,0,3,0.90625,0.828571429,1
608,NLR family pyrin domain containing 7,71,71,65,0,6,0.915492958,0.844155844,1
609,cyclin T1,34,68,34,34,0,0.5,1,1
610,transforming acidic coiled-coil containing protein 3,34,34,29,0,5,0.852941176,0.743589744,1
611,C-type lectin domain family 3 member B,14,14,12,0,2,0.857142857,0.75,1
612,protein tyrosine phosphatase receptor type J,101,101,94,0,7,0.930693069,0.87037037,1
613,purine rich element binding protein A,15,15,15,0,0,1,1,0
614,interleukin 11 receptor subunit alpha,32,32,30,0,2,0.9375,0.882352941,1
615,endogenous retrovirus group K member 18,429,559,429,130,0,0.76744186,1,4
616,poly(ADP-ribose) polymerase 1,1218,1218,1200,0,18,0.985221675,0.970873786,2
617,Brain Aneurysm,11,11,11,0,0,1,1,1
618,Conventional (Clear Cell) Renal Cell Carcinoma,746,746,733,0,13,0.982573727,0.965744401,2
619,dynein axonemal light intermediate chain 1,15,15,12,0,3,0.8,0.666666667,1
620,Malignant hyperpyrexia due to anesthesia,340,340,333,0,7,0.979411765,0.959654179,1
621,Keratocystic Odontogenic Tumor,33,33,30,0,3,0.909090909,0.833333333,1
622,Central Core Myopathy (disorder),241,241,221,0,20,0.917012448,0.846743295,1
623,Inborn Errors of Metabolism,118,118,105,0,13,0.889830508,0.801526718,1
624,Salmonella infections,51,53,51,2,0,0.962264151,1,1
625,tankyrase 2,19,19,15,0,4,0.789473684,0.652173913,1
626,Juvenile dermatomyositis,62,62,60,0,2,0.967741935,0.9375,1
627,ataxin 3,545,1090,545,545,0,0.5,1,4
628,Dentinogenesis imperfecta without osteogenesis imperfecta,15,15,13,0,2,0.866666667,0.764705882,0
629,fibulin 5,102,204,102,102,0,0.5,1,4
630,Respiratory Tract Infections,144,144,102,0,42,0.708333333,0.548387097,1
631,endonuclease G,23,287,23,264,0,0.080139373,1,2
632,Kniest dysplasia,18,18,17,0,1,0.944444444,0.894736842,1
633,Orofaciodigital Syndrome I,13,13,13,0,0,1,1,0
634,cyclin dependent kinase 4,858,858,844,0,14,0.983682984,0.967889908,1
635,G protein regulated inducer of neurite outgrowth 1,27,54,27,27,0,0.5,1,1
636,Knobloch syndrome,17,17,15,0,2,0.882352941,0.789473684,0
637,"Kidney Failure, Acute",376,376,344,0,32,0.914893617,0.843137255,2
638,"ES1 protein homolog, mitochondrial;",342,342,322,0,20,0.941520468,0.889502762,1
639,endothelin converting enzyme 1,125,250,125,125,0,0.5,1,1
640,"Hearing Loss, Sudden",24,24,19,0,5,0.791666667,0.655172414,1
641,tetraspanin 12,28,56,28,28,0,0.5,1,1
642,D-glucopyranose 1-phosphate,20,20,20,0,0,1,1,0
643,Aqueous Humor Disorders,97,97,86,0,11,0.886597938,0.796296296,0
644,"von Willebrand Disease, Type 3",60,60,57,0,3,0.95,0.904761905,0
645,Werner Syndrome,237,1104,237,867,0,0.214673913,1,3
646,Hallopeau-Siemens Disease,132,132,111,0,21,0.840909091,0.725490196,1
647,Embryonal Neoplasm,47,47,43,0,4,0.914893617,0.843137255,1
648,central hypothyroidism,28,28,26,0,2,0.928571429,0.866666667,1
649,myosin light chain 7,11,11,11,0,0,1,1,0
650,protein kinase C gamma,104,511,104,407,0,0.203522505,1,3
651,Multiple Endocrine Neoplasia Type 2a,650,650,643,0,7,0.989230769,0.97869102,2
652,retinol binding protein 4,201,402,201,201,0,0.5,1,3
653,Degenerative Disorder,141,141,121,0,20,0.858156028,0.751552795,1
654,ADAM metallopeptidase with thrombospondin type 1 motif 15,12,12,11,0,1,0.916666667,0.846153846,1
655,RENAL INTERSTITIAL FIBROSIS,37,37,32,0,5,0.864864865,0.761904762,1
656,Scrub Typhus,31,31,29,0,2,0.935483871,0.878787879,0
657,Choroid Diseases,26,26,26,0,0,1,1,1
658,Multiple Sulfatase Deficiency Disease,32,32,32,0,0,1,1,1
659,"Bone Cysts, Aneurysmal",32,32,32,0,0,1,1,0
660,Coffin-Lowry syndrome,72,72,72,0,0,1,1,1
661,cystatin D,21,42,21,21,0,0.5,1,3
662,Thalassemia Intermedia,78,78,67,0,11,0.858974359,0.752808989,0
663,Dermatofibrosis lenticularis disseminata,16,16,16,0,0,1,1,0
664,diacylglycerol O-acyltransferase 2,15,384,15,369,0,0.0390625,1,4
665,Neuroleptic Malignant Syndrome,32,32,31,0,1,0.96875,0.939393939,1
666,myosin heavy chain 9,426,426,411,0,15,0.964788732,0.931972789,1
667,Primary Progressive Nonfluent Aphasia,14,14,14,0,0,1,1,1
668,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J",12,12,12,0,0,1,1,0
669,"Neoplasms, Experimental",75,75,65,0,10,0.866666667,0.764705882,0
670,Carbamoyl-Phosphate Synthase I Deficiency Disease,30,30,29,0,1,0.966666667,0.935483871,1
671,mannose receptor C-type 1,1269,1269,1200,0,69,0.945626478,0.896860987,2
672,stabilin 1,12,24,12,12,0,0.5,1,1
673,TATA-box binding protein,225,568,225,343,0,0.396126761,1,4
674,C-type lectin domain family 4 member D,61,346,61,285,0,0.176300578,1,4
675,Periapical Periodontitis,21,21,19,0,2,0.904761905,0.826086957,1
676,Dyschromatosis universalis hereditaria,19,37,19,18,0,0.513513514,1,1
677,"5,10-Methylenetetrahydrofolate reductase deficiency",34,34,30,0,4,0.882352941,0.789473684,0
678,"Apraxia, Developmental Verbal",24,24,22,0,2,0.916666667,0.846153846,0
679,GRB2 associated binding protein 1,56,56,53,0,3,0.946428571,0.898305085,1
680,Extramedullary Plasmacytoma,12,12,11,0,1,0.916666667,0.846153846,1
681,vascular endothelial growth factor D,188,483,188,295,0,0.389233954,1,2
682,"CREBBP,EP300 [nucleoplasm]",15,15,14,0,1,0.933333333,0.875,1
683,TBC1 domain family member 7,13,606,13,593,0,0.021452145,1,2
684,Cutaneous Mastocytosis,13,13,11,0,2,0.846153846,0.733333333,1
685,sirtuin 1,852,1704,852,852,0,0.5,1,3
686,Anxiety neurosis (finding),13,13,13,0,0,1,1,0
687,glutathione S-transferase omega 2,62,124,62,62,0,0.5,1,1
688,COMPLEMENT COMPONENT 4A DEFICIENCY,13,13,10,0,3,0.769230769,0.625,0
689,"helicase, lymphoid specific",20,20,20,0,0,1,1,1
690,Atrioventricular septal defect and common atrioventricular junction,13,13,13,0,0,1,1,0
691,crystallin gamma D,225,225,212,0,13,0.942222222,0.890756303,1
692,"Anemia, Macrocytic",23,23,23,0,0,1,1,1
693,beta-Galactosidase Deficiency,19,19,19,0,0,1,1,1
694,Anhydrotic Ectodermal Dysplasias,26,26,26,0,0,1,1,1
695,"Nephrogenic Diabetes Insipidus, Type II",17,17,17,0,0,1,1,0
696,CREB regulated transcription coactivator 3,11,22,11,11,0,0.5,1,0
697,interleukin 37,87,174,87,87,0,0.5,1,3
698,Combined hyperlipidemia,21,21,15,0,6,0.714285714,0.555555556,0
699,Mainzer-Saldino Disease,13,13,13,0,0,1,1,1
700,Creatinine finding,91,91,87,0,4,0.956043956,0.915789474,1
701,Scapuloperoneal myopathy,13,18,13,5,0,0.722222222,1,1
702,Intermittent Claudication,28,28,25,0,3,0.892857143,0.806451613,1
703,Endocardial Cushion Defects,13,13,13,0,0,1,1,1
704,Papillary thyroid carcinoma,1770,1788,1770,18,0,0.989932886,1,2
705,hydroxysteroid 17-beta dehydrogenase 7,179,186,179,7,0,0.962365591,1,1
706,mitogen-activated protein kinase kinase 3,25,48,25,23,0,0.520833333,1,1
707,leucine rich repeat containing G protein-coupled receptor 5,163,163,143,0,20,0.877300613,0.781420765,1
708,basic charge Y-linked 2C,11,11,11,0,0,1,1,1
709,RNA guanine-7 methyltransferase,863,867,863,4,0,0.99538639,1,1
710,inosine monophosphate dehydrogenase 1,67,96,67,29,0,0.697916667,1,1
711,Pleomorphic Carcinoma,18,18,18,0,0,1,1,0
712,Myasthenia Gravis,482,541,482,59,0,0.890942699,1,1
713,bilateral breast cancer,71,71,66,0,5,0.929577465,0.868421053,1
714,Cerebral Small Vessel Diseases,33,33,33,0,0,1,1,1
715,Metabolic Syndrome X,2378,2378,2222,0,156,0.934398654,0.876874507,2
716,tubulin alpha 1b,35,35,32,0,3,0.914285714,0.842105263,0
717,Muscle twitch,14,14,12,0,2,0.857142857,0.75,0
718,multiple EGF like domains 10,21,21,19,0,2,0.904761905,0.826086957,1
719,Status Epilepticus,225,225,220,0,5,0.977777778,0.956521739,1
720,Monocytoid B-cell lymphoma,15,15,13,0,2,0.866666667,0.764705882,1
721,leucine rich repeats and immunoglobulin like domains 2,20,20,17,0,3,0.85,0.739130435,0
722,Harlequin Fetus,38,38,33,0,5,0.868421053,0.76744186,0
723,"46, XY female",58,58,55,0,3,0.948275862,0.901639344,0
724,Hematocrit level,57,57,52,0,5,0.912280702,0.838709677,1
